Overall_rank,Country_or_region,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Continent,Population
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,North America,10999664
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,South America,17588595
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Asia,107465134
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,North America,6292731
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Europe,1329444
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Africa,117190911
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Europe,5529468
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Europe,64480053
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Africa,2292573
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Africa,2573995
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Asia,3765912
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Europe,83328988
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Africa,32180401
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,Europe,10512232
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,North America,17362718
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Oceania,13205153
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,North America,11306801
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,North America,10121763
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Asia,7500958
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Europe,9750573
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Europe,366669
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Asia,1396387127
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Asia,271857970
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Asia,87290193
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Asia,42556984
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Europe,4946119
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Asia,8757489
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Europe,59500579
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Africa,26811790
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,North America,2820436
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Asia,125244761
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Asia,10928721
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Asia,18979243
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Africa,51985780
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Asia,4360444
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Asia,6424874
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Asia,7319399
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Europe,1897052
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Asia,5662923
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Africa,2254100
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Africa,5087584
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Africa,6653942
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Europe,2820267
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Europe,630399
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Africa,28225177
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Africa,19377061
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Asia,33199993
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Africa,21224040
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Europe,515357
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Africa,4498604
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Africa,1297828
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,North America,125998302
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,Europe,3084847
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Asia,3294335
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Europe,629048
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Africa,36688772
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Africa,31178239
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Asia,53423198
